Price,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP
Date,,,,,
2021-03-24,118.86114501953125,119.97432025170855,118.83545746590306,119.03239973235151,5082300
2021-03-25,119.56330871582031,120.09420225593588,118.45869162415734,119.17796927190693,5827600
2021-03-26,122.1921157836914,122.44900442013018,119.13517890117652,119.55475104365767,6785600
2021-03-29,123.9988784790039,124.12732932721252,121.95235373017226,122.33768014300111,6105800
2021-03-30,122.05512237548828,123.94752207113183,121.69548346484798,123.03128886605496,4372700
2021-03-31,121.12175750732422,122.73158076954687,120.88199826391644,122.72302260581759,6257900
2021-04-01,120.9761962890625,121.84961247073788,119.97434231562579,120.8991336140057,4823400
2021-04-05,122.58599853515625,123.59641049886523,121.01043425315385,121.46426512714478,5980700
2021-04-06,123.02271270751953,123.47654362832252,122.07223391631169,122.4832478875128,4751900
2021-04-07,122.80010223388672,123.39094226026283,122.46615087974813,123.30530834755011,4849200
2021-04-08,122.05512237548828,123.44231596327286,121.63555017935816,123.03128886605496,6725100
2021-04-09,122.08080291748047,122.56887954951713,121.25876192418404,121.79822673434414,4950800
2021-04-12,122.46615600585938,122.8514824973941,121.6355566682017,121.76399447674622,4386700
2021-04-13,122.49182891845703,123.27961120375323,121.4814037037752,121.6526715158871,5283300
2021-04-14,121.68689727783203,122.20923266093286,120.94193206776434,122.08079488881685,4685300
2021-04-15,121.85813903808594,122.53461274169014,121.0960445174748,121.31011615883631,4777100
2021-04-16,123.44231414794922,123.57932317834036,121.98662913126923,122.84291597236337,6481400
2021-04-19,123.94754028320312,124.67538944214247,122.6716679800173,123.72491037225694,6621200
2021-04-20,124.76951599121094,125.5744143537743,123.24531394772556,123.41658170638148,4999700
2021-04-21,125.85700225830078,126.55916355001379,125.19767097615672,126.17383718875759,6316000
2021-04-22,125.07779693603516,125.57443169384995,124.48695705841389,125.22336409827706,4904400
2021-04-23,124.8722915649414,125.30899308009268,124.21294714465958,124.59827354813403,4354700
2021-04-26,122.75728607177734,124.82094056203988,122.43189288044447,124.63255640557355,5817700
2021-04-27,122.35482025146484,122.6031376743109,121.70404698760305,122.12361915716014,4693700
2021-04-28,121.4471435546875,123.0398373304815,121.36150965880364,122.86858260461186,4962700
2021-04-29,123.25392150878906,123.6734936698519,121.56703550274219,121.6783569655055,4699900
2021-04-30,123.44231414794922,123.51081866314479,122.02087485591686,122.7230363372462,5051100
2021-05-03,124.8380355834961,125.68576414289666,123.39092199713937,124.18726237781085,6109800
2021-05-04,123.27104949951172,125.6772132393301,122.86859367122545,125.0007393722535,6603800
2021-05-05,123.21110534667969,123.79338715652274,122.87715402214747,123.06553816069379,5305200
2021-05-06,124.6410903930664,124.98361291379139,123.31384339029077,123.70774102264994,4472200
2021-05-07,124.6410903930664,125.0178586329148,123.79337491930573,124.35851421318013,4181000
2021-05-10,125.6343994140625,126.7218873004885,125.11206394728146,125.43745710996788,5270600
2021-05-11,124.71817016601562,126.42218564235085,124.17871835397078,126.01972979148726,5266100
2021-05-12,123.50220489501953,124.79520594190296,123.17682489228572,124.05879898956468,5651700
2021-05-13,125.33466339111328,125.97687833050762,122.94562956556074,123.51078184804288,4849400
2021-05-14,125.5230712890625,126.64480483871644,125.37750410976912,126.04540672812642,4224700
2021-05-17,125.16339874267578,126.21662750115071,124.76951426137737,125.87411812037857,3747100
2021-05-18,124.59828186035156,125.83133688644807,124.43559835115468,125.56589008114378,4527300
2021-05-19,124.5297622680664,124.70103005220115,123.37378312054176,123.8533015579651,4432700
2021-05-20,126.07109832763672,126.49924171548597,124.25577454424369,124.37565417020551,3964600
2021-05-21,125.95980834960938,126.99590818280076,125.46316037917583,126.619139855858,5194200
2021-05-24,126.60202026367188,127.03016370309464,125.88272935535697,126.42219427011793,3627800
2021-05-25,126.9873275756836,127.04726085388668,125.88271035182385,126.60200115155301,4649300
2021-05-26,126.9873275756836,127.30414949194004,126.45642090613363,126.65337626598391,4462600
2021-05-27,125.45453643798828,127.38975238312696,125.39460317437458,127.20992646049447,9203600
2021-05-28,126.67903137207031,127.15854973845317,126.07963341409173,126.22520055632256,4913700
2021-06-01,126.41361236572266,127.45828320700656,125.95121022107652,127.39833686511234,5530300
2021-06-02,126.91878509521484,127.18423181762188,126.07105676303871,126.90165570689649,4546900
2021-06-03,127.37165832519531,127.44928399691238,126.06922379697389,126.54362483750322,4651600
2021-06-04,127.51824951171875,128.16515623184074,127.19911307475755,127.65625943740233,4427400
2021-06-07,127.44065856933594,127.87192983352996,126.54362013080832,127.4492792565322,4724100
2021-06-08,126.25032806396484,127.54414167613535,125.86218661258422,127.39751104611834,5997200
2021-06-09,126.01748657226562,127.3026666989531,125.9484815808247,127.00940535634649,4008000
2021-06-10,127.31128692626953,127.66491937270011,126.04334831209596,126.19859965520865,4698200
2021-06-11,127.388916015625,127.75980300835941,126.61261979516885,127.69943187153639,4364600
2021-06-14,128.14794921875,128.19969966441795,126.61261141625859,127.1991471769892,3831900
2021-06-15,128.1565704345703,128.66546736754378,127.71667848322357,128.43257719972283,4256500
2021-06-16,126.88003540039062,128.7517514647721,126.57814019330841,128.39810580192884,5492100
2021-06-17,128.10479736328125,128.51881401856514,126.71610361152588,127.00936486062896,5316400
2021-06-18,125.43093872070312,127.63904559004907,125.26705352688595,127.63904559004907,10661700
2021-06-21,126.41421508789062,126.56947956753966,125.45679247433897,125.71555783285213,4904300
2021-06-22,126.60398864746094,127.2250203079743,126.18133807919777,126.56085888966196,3518000
2021-06-23,124.93928527832031,126.04333861559245,124.92203074329464,125.98295432367955,3901700
2021-06-24,125.64659881591797,125.87948903989626,124.7323056212684,124.94794130534075,3818900
2021-06-25,126.28484344482422,126.61260062657529,125.27567035623541,125.724182954706,6387600
2021-06-28,126.82820892333984,127.30260980161704,126.46594275120556,126.58669814191698,4282800
2021-06-29,126.74198913574219,127.39751665669098,126.27620884449041,127.181881045166,3197700
2021-06-30,127.80290985107422,127.92366526442075,126.96624264383297,127.16462371689805,4943700
2021-07-01,127.82881164550781,128.58785335082885,127.60455530591554,127.7253107443661,3997600
2021-07-02,128.44119262695312,129.19160030731786,128.13929752080386,128.4325587796415,3835500
2021-07-06,128.63096618652344,128.88109771848565,127.45790786964582,128.57921574276256,4313800
2021-07-07,129.2002410888672,129.98515795785787,128.5188382742481,128.76896981949054,4225000
2021-07-08,129.26060485839844,129.95926209803028,128.68270302856283,128.88108409579533,4216000
2021-07-09,128.93284606933594,129.64875790623282,128.66546000667583,128.8724749397129,4088600
2021-07-12,128.95872497558594,129.20023582368643,128.32907263313496,128.94148360168884,4873700
2021-07-13,131.9344940185547,132.75390668319955,130.02826948420886,130.37328118679002,8750800
2021-07-14,133.2973175048828,133.81484829017995,131.79650191795932,131.87412758734752,6390300
2021-07-15,133.9097442626953,134.00462447912636,132.19327967866337,132.89195026948616,4920600
2021-07-16,134.40138244628906,135.2811663448502,133.7889714630747,134.28061385799361,5852500
2021-07-19,134.38414001464844,135.88495571875785,133.48708833827087,134.5480252148341,5750200
2021-07-20,134.40138244628906,135.70381691982092,134.17711296671686,134.72913965578354,5213500
2021-07-21,133.90110778808594,134.66013626869204,133.32320586935845,133.952858234337,4905900
2021-07-22,133.85797119140625,134.34961356703172,132.8056683002067,133.85797119140625,3333500
2021-07-23,135.57440185546875,136.10055322163194,133.90108073225733,134.17708744361158,3588400
2021-07-26,135.47955322265625,135.8245649490238,134.58250167593468,135.2380292205745,2999800
2021-07-27,136.22999572753906,136.85102752254994,135.44507871421183,135.68658961656527,4043900
2021-07-28,134.979248046875,136.24718626933972,134.47897193802797,135.93667051768813,3556800
2021-07-29,135.2552947998047,135.79006696774826,134.72914331925045,135.6175610904782,3055600
2021-07-30,135.3760528564453,135.93671342014375,135.0914122308178,135.73831915414712,3757300
2021-08-02,134.83262634277344,135.51402900763847,134.13395598439436,135.41914882277356,3425900
2021-08-03,135.1345672607422,135.54858408391243,134.8240513530251,135.41920793959596,3359900
2021-08-04,132.8746795654297,135.12591609834635,132.7194150659072,134.7205200557685,4846300
2021-08-05,133.0989227294922,133.8579642935656,132.7194019474555,133.67682458891963,3733500
2021-08-06,133.1161651611328,133.48705206172414,132.52100882171692,132.6331435411292,3430900
2021-08-09,133.1334686279297,133.51297635360072,132.58144183625913,133.38360021545796,2636600
2021-08-10,133.20245361328125,133.96149534831773,132.66768138797258,133.09895270808764,2670200
2021-08-11,133.7285614013672,134.5738623884314,133.2369191011806,133.44393400519974,3058000
2021-08-12,133.75450134277344,133.95288247642256,133.34910522530112,133.8924981706319,1958700
2021-08-13,135.00514221191406,135.13451830936512,133.60781455267906,133.78033356441742,2113800
2021-08-16,136.32485961914062,136.38523075681806,135.18629707756682,135.35880296410224,3224000
2021-08-17,136.19544982910156,136.66985081666996,135.62618180537302,136.2040836770096,3736300
2021-08-18,134.79815673828125,136.45423695415204,134.72915175078384,136.00571111609673,3419200
2021-08-19,137.06663513183594,137.50652707933318,134.36687283024068,134.40138190142932,4745600
2021-08-20,136.58360290527344,137.687656193888,136.49734339530062,137.083865946785,3484100
2021-08-23,136.15231323242188,136.73021501915713,135.6951668464768,136.13505870049426,3102100
2021-08-24,134.46173095703125,136.06606030867798,134.28059126641773,136.06606030867798,3760800
2021-08-25,133.86663818359375,134.27203434722057,132.96959947427897,134.0046481885217,3346700
2021-08-26,133.37498474121094,134.27202337723793,132.90920430297282,134.13401338358534,3220700
2021-08-27,133.64231872558594,134.0477146978906,133.01266647212748,133.55605922287558,4166500
2021-08-30,134.55661010742188,134.7032407313818,133.70268842057646,133.8493190445364,2540300
2021-08-31,134.8930206298828,134.96202560903114,133.9873483754229,134.63425524841512,5291200
2021-09-01,136.2041015625,136.44561243127518,134.99653405726886,135.28117468718716,4231400
2021-09-02,136.30393981933594,136.59921118779553,135.36600730931877,136.16498391009677,2862500
2021-09-03,136.42552185058594,136.71211344179363,135.39205881756683,135.65259783244332,2035100
2021-09-07,134.2023162841797,136.13896673589548,133.46412441950227,135.89580045727504,4609900
2021-09-08,136.10418701171875,136.13023958596418,134.0025287626845,134.31517290519326,3199100
2021-09-09,135.24447631835938,136.321365152597,134.9578846144517,136.24320739286856,3560400
2021-09-10,135.00999450683594,135.69606799593296,134.61917922975235,135.46158147999662,3851500
2021-09-13,135.2705078125,136.69477308005045,134.94918379378413,135.4268365591509,3367200
2021-09-14,134.74073791503906,136.06079273529284,134.45415953283953,135.80894670950434,2808600
2021-09-15,135.49630737304688,135.80895159826747,134.4194187636054,134.80154095571584,3702400
2021-09-16,135.09683227539062,135.58316486368648,133.5770363111815,134.9491965433415,4589900
2021-09-17,133.85491943359375,135.04469806349113,133.59438038830268,134.81021159757253,8127400
2021-09-20,133.4033203125,134.567046371812,132.36985715103395,133.65516633219102,5484600
2021-09-21,133.34255981445312,135.58317505166818,132.84754741115907,134.2718129202915,4479800
2021-09-22,133.75070190429688,134.68863455875896,133.26436939862768,134.28045979473657,3001000
2021-09-23,133.85491943359375,134.5496725522815,133.34252111894702,133.4727972673757,2712500
2021-09-24,133.9157257080078,134.28047512891231,133.3512353962298,133.5249237035793,2366100
2021-09-27,132.6304168701172,133.87230086169725,132.34382519862137,133.56834963549392,4482000
2021-09-28,131.18011474609375,132.4393716955075,130.35508524486198,132.32646831847777,5910900
2021-09-29,132.265625,133.02117618592249,130.86741270379827,131.43190283670702,3326500
2021-09-30,130.624267578125,133.24699108986073,130.5895219711172,133.064623033552,4949200
2021-10-01,131.09324645996094,131.66642979544022,129.85136248465747,131.4406363230855,4274300
2021-10-04,130.44189453125,132.87357036470843,129.81660608117306,131.03245062368586,5404900
2021-10-05,131.21482849121094,132.3438223465882,130.32901416375165,131.44931499039402,6103100
2021-10-06,134.57574462890625,134.74943291663908,130.23347117775057,130.99770229408844,5499200
2021-10-07,135.81761169433594,136.99871045718314,135.06206044768786,135.06206044768786,4605100
2021-10-08,135.50498962402344,136.09554572758748,135.03602990341247,135.97396259620186,4186000
2021-10-11,135.68736267089844,136.5471243148403,135.18365737114698,135.81762557102095,2738100
2021-10-12,136.28660583496094,137.08559591487227,135.66133056842338,135.67001034588617,3195400
2021-10-13,137.2071533203125,137.25925847845286,135.4962966196846,136.7468734213178,3599900
2021-10-14,138.31008911132812,138.5098432310877,137.74559886364878,137.75427863998172,3677100
2021-10-15,137.9193115234375,138.65750344075897,136.7903175770038,138.65750344075897,4313000
2021-10-18,137.2940216064453,137.82377958555583,136.17372070062487,137.38955216830357,3274200
2021-10-19,139.03958129882812,139.09168645253084,136.81632647884769,137.7716318019473,3125800
2021-10-20,140.0904083251953,140.5854338041285,138.6748230976131,139.45644018252364,3716500
2021-10-21,138.24061584472656,140.1946389629721,138.066927551196,140.15990660489294,4164700
2021-10-22,138.92669677734375,139.36092411908663,138.49246943560087,138.58799998084697,3240300
2021-10-25,138.2753448486328,138.90931300709033,137.90190247340044,138.90931300709033,3281200
