Price,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,
2021-03-24,140.59982299804688,141.09479416534393,138.7849066338472,139.02805268979424,6370100
2021-03-25,140.6519012451172,141.06872109545424,139.49695103960087,141.06004204144492,6269800
2021-03-26,143.22230529785156,143.3699419687606,140.1395583260033,140.75610242018732,7619200
2021-03-29,144.18624877929688,145.04595236940867,142.09345667181017,142.26713055099816,8535100
2021-03-30,143.29176330566406,143.85621976966388,142.61442614923453,143.30045560924827,7236300
2021-03-31,142.7186737060547,143.62178570452087,142.15421711285572,143.24838757789004,8281500
2021-04-01,141.39871215820312,142.2757736391803,140.9037278146612,141.19898791015174,7229700
2021-04-05,141.9197235107422,143.06599459243355,141.25107863021887,142.10208963754337,7387100
2021-04-06,141.88502502441406,142.86630155097313,141.54635635823814,142.48421110698672,5074200
2021-04-07,142.07606506347656,142.6578797636072,141.8242399621082,142.0239642321911,4608000
2021-04-08,141.520263671875,142.51021895812636,141.4160620366261,142.41469637566075,5039400
2021-04-09,140.02667236328125,141.48554854302904,138.7501490807695,140.782160867046,8418300
2021-04-12,140.3653564453125,140.7474468917243,139.23645646740476,139.88774338729772,5022800
2021-04-13,138.4896240234375,138.88039346062902,135.92789854577748,136.214466333175,18424100
2021-04-14,138.87171936035156,139.03671414538698,136.80496489595347,137.0568032258911,7718300
2021-04-15,139.2798614501953,141.01662636047917,139.1409170772611,139.56642925044792,7524600
2021-04-16,140.88636779785156,141.1208215095975,139.42747845022296,140.10481567397278,9049400
2021-04-19,141.27713012695312,141.64184913289537,139.6706174396344,141.11213535630853,8353500
2021-04-20,144.56834411621094,145.70592330111268,139.8096107643024,139.8096107643024,14050700
2021-04-21,144.663818359375,144.94170708284045,143.53491860860797,144.4727731746084,6333200
2021-04-22,143.4394073486328,144.39463334793325,142.9531152946125,144.01254294821308,7233000
2021-04-23,143.73468017578125,144.20360091210267,142.41473501913202,142.87497670031513,6015300
2021-04-26,142.51889038085938,143.63911090166073,142.20627224138707,143.46543710205646,6027800
2021-04-27,141.70266723632812,142.33659607881833,141.08612300654949,142.20633073768457,6217700
2021-04-28,140.6605987548828,141.72002650344533,140.37403092940616,141.42477962282058,7448000
2021-04-29,142.58839416503906,142.6404949914258,140.51296066102495,140.59111190060509,6394300
2021-04-30,141.31185913085938,142.70127622079204,141.12950625371454,142.5449605042045,9079100
2021-05-03,143.4654541015625,143.56097669023274,141.65052491682798,142.06735798582346,6594100
2021-05-04,145.68849182128906,145.75796399040442,142.9965015825303,143.135445920761,10179500
2021-05-05,145.08070373535156,146.23564106344068,144.83754438944666,145.45410193531887,7792300
2021-05-06,145.66246032714844,145.79271237961342,144.35988680064628,144.83748649332657,5529900
2021-05-07,146.3224334716797,146.91292713971075,145.7406188574266,146.14875964287432,5316200
2021-05-10,147.85948181152344,148.9536389160714,146.95635665340316,147.53817129831504,8357500
2021-05-11,146.65243530273438,148.38050793218665,146.13140052222187,148.18946272936304,8217900
2021-05-12,146.06192016601562,147.45133733603348,145.84482456135436,146.35716700824358,6758300
2021-05-13,147.5902862548828,148.23288078420106,144.9938179728905,144.9938179728905,8018600
2021-05-14,147.81607055664062,149.02312170445234,147.77264878144572,148.9102277390387,5797700
2021-05-17,147.9636993408203,149.26627314096268,147.89422714809015,147.97237839598688,5722600
2021-05-18,148.01577758789062,148.8146878066877,147.2168673690936,147.6076367994179,5846000
2021-05-19,147.6945037841797,147.76397597733728,145.92299598482649,147.54688034264458,5533800
2021-05-20,148.55418395996094,149.00573326893928,147.35581200432972,147.57290760496065,4853200
2021-05-21,148.45863342285156,150.00435274837216,148.38046895098392,148.77993061116248,6501800
2021-05-24,149.02662658691406,149.72566941265077,148.34506349843232,149.332448656645,5195100
2021-05-25,148.61595153808594,149.44605912805136,148.3188626462051,149.13149049749106,7444700
2021-05-26,147.73341369628906,148.61594714305966,147.0431040367719,148.54604152354315,5726400
2021-05-27,147.50619506835938,148.6945637563808,147.13046741935128,147.89940245291928,8114700
2021-05-28,147.89068603515625,149.42856960995135,147.8207804181474,148.12661582591946,6400800
2021-06-01,144.64016723632812,148.72081316836977,144.5091025203738,148.67712048534003,10448400
2021-06-02,145.2255859375,145.68869896206593,144.27314694985554,144.439171115857,6806000
2021-06-03,145.08578491210938,146.05570370467552,144.7974425681952,144.9547202103302,5808800
2021-06-04,145.0246124267578,146.42269800448963,144.937227078225,145.93335871909096,6510300
2021-06-07,144.03721618652344,145.3304500322656,143.85372561818824,145.05082757919732,5362800
