Date,Close,High,Low,Open,Volume,Daily_Return,20_Day_MA,Volatility_20
2021-04-22,128.50900268554688,130.66152498796075,127.99278612277816,129.58038910212525,84566500,-0.01168520908539794,125.22466278076172,0.013443545637365667
2021-04-23,130.82711791992188,131.6063026401296,128.7232835065709,128.7232835065709,78657500,0.01803854349447631,125.89331245422363,0.01376307774545218
2021-04-26,131.21669006347656,131.5478450047434,130.08685158645528,131.32383017529745,66905100,0.0029777629420311147,126.55124740600586,0.013774507671046505
2021-04-27,130.895263671875,131.8887433117037,130.62254610203854,131.49913616765673,66015800,-0.002449584663704485,127.18434448242188,0.013861004599765303
2021-04-28,130.10635375976562,131.5089100143574,129.619355885921,130.81736649421998,107760100,-0.006027031765541868,127.85055885314941,0.0135127096005721
2021-04-29,130.00892639160156,133.50558183329358,129.00571212903608,132.92117853809344,151101000,-0.0007488286724564031,128.40232696533204,0.013205708482253182
2021-04-30,128.04147338867188,130.08685531571498,127.66161568350716,128.35314426527148,109839500,-0.015133214753296986,128.8143280029297,0.0138974658189041
2021-05-03,129.0933380126953,130.5835645811877,128.40180963228673,128.6063403344398,75135100,0.008215030616138597,129.13769302368163,0.013128148856512301
2021-05-04,124.52532196044922,128.07067238199318,123.40522566029895,127.77847076247716,137564700,-0.03538537404460684,129.2175594329834,0.015644078431587823
2021-05-05,124.76882934570312,127.05770985077288,124.64220517501704,125.84021547722772,84000900,0.001955484887894876,129.22729949951173,0.015364738673426477
2021-05-06,126.3661880493164,126.37592265450228,123.82405163749549,124.56429033642048,78128300,0.01280254621278365,129.1971050262451,0.015008371042199951
2021-05-07,127.03936767578124,128.06378806137542,126.32713259923072,127.66378295557222,78973300,0.005327213211512749,129.0720027923584,0.014295716151585676
2021-05-10,123.76119232177734,126.38568557584613,123.72216543128324,126.25886120807225,88071200,-0.02580440546878482,128.8687038421631,0.01512017992468965
2021-05-11,122.84408569335938,123.19531281841267,119.78053807914272,120.4927657999539,126142800,-0.007410292444771427,128.46419715881348,0.013883089215771378
2021-05-12,119.78054809570312,121.60501628867117,119.27321336720668,120.39521236408822,112172300,-0.024938421580208425,128.02339515686035,0.014361725285611466
2021-05-13,121.92697143554688,123.07823863645709,121.23426088704588,121.54646856304096,105861300,0.017919631976711203,127.56962242126465,0.014298629455209927
2021-05-14,124.34659576416016,124.7758841676664,122.7855571745272,123.17581868284024,81918000,0.019844865333117356,127.25338973999024,0.015222762679907112
2021-05-17,123.19530487060548,123.83923735283338,122.12209151051,123.73191527246206,74244600,-0.009258724667768559,126.84647712707519,0.01519153767448309
2021-05-18,121.80989837646484,123.8977887358132,121.74160317568686,123.47825894714308,63342900,-0.011245611150487944,126.45454406738281,0.015142088467868194
2021-05-19,121.6537857055664,121.87818100914645,119.86834464183288,120.16104258276611,92612000,-0.0012816090726548435,126.03581275939942,0.015084402720475908
2021-05-20,124.20999145507812,124.61001150333644,122.05380598133526,122.1806452374261,76857100,0.02101213484386255,125.82086219787598,0.015869462482609883
2021-05-21,122.37579345703124,124.88321393915864,122.16114924209418,124.70759662181192,79295400,-0.01476691187689394,125.39829597473144,0.015424156779199193
2021-05-24,124.00509643554688,124.82464619337512,122.87334646207267,122.94164165492356,63092900,0.013313931885456709,125.03771629333497,0.015811054821514788
2021-05-25,123.80998992919922,125.19541862484829,123.24411112700588,124.70758616767344,72009500,-0.0015733749011603848,124.68345260620117,0.01581300765449797
2021-05-26,123.76119232177734,124.28804417802036,123.34166255348856,123.86851440973156,56575900,-0.0003941330376472374,124.36619453430175,0.015800023627008847
2021-05-27,122.22943115234376,124.5319657543007,122.03430412924318,123.36118872845968,94625600,-0.012376748645496427,123.97721977233887,0.015950162661754627
2021-05-28,121.57573699951172,122.736762785055,121.51720038633076,122.51236002849777,71311100,-0.005348091263038701,123.65393295288087,0.015705267195457905
2021-06-01,121.2537612915039,122.29770632572136,120.92204391783557,122.03428414331518,67637100,-0.0026483549757062574,123.26195411682129,0.015502838394067728
2021-06-02,122.01475524902344,122.1903725016184,121.02935436176764,121.2537496356509,59278900,0.006276044135983927,123.13642578125,0.013607154414278903
2021-06-03,120.53176879882812,121.80986756594255,120.1317488357246,121.64400889795088,76229200,-0.012154156660550086,122.92457275390625,0.013813889356241879
2021-06-04,122.82457733154295,123.0880069987406,120.83425044759343,121.04889463757117,75169300,0.01902244159829447,122.74749221801758,0.014220079984847256
2021-06-07,122.83432006835938,123.24409122711307,121.7903750056576,123.0977422579531,71057600,7.932237202101788e-05,122.53723983764648,0.014139072551249823
2021-06-08,123.65387725830078,125.33200387040456,123.13678395621102,123.51728685562117,74403800,0.006672053783383314,122.53187408447266,0.01303300027157855
2021-06-09,124.0343780517578,124.63928371308172,123.43923097435068,124.1124318358548,56877900,0.0030771440564065777,122.59138870239258,0.012928140725997435
2021-06-10,123.03921508789062,125.06856875877892,122.87335638380549,123.92705266664278,71186400,-0.008023283379160473,122.75432205200195,0.011663581686819992
2021-06-11,124.24901580810548,124.3368281715762,123.02945340825438,123.44898317154788,53522400,0.009832643351557868,122.87042427062988,0.011191640237281104
2021-06-14,127.30281066894533,127.36134728829198,123.9758479654745,124.70758548178374,96906500,0.024578020525782174,123.01823501586914,0.01165163005637905
2021-06-15,126.4832763671875,127.41990699875254,126.23936384604688,126.775974370004,62746300,-0.0064376764146162335,123.18263359069825,0.011534335025681297
2021-06-16,126.9808349609375,127.70282128290684,125.33199905171192,127.19547914078684,91815000,0.0039337895731412775,123.44118041992188,0.011152887174186629
2021-06-17,128.58090209960938,129.32240559947226,126.49301177385304,126.63936820067508,96721700,0.012600855390217713,123.78753623962402,0.01135885084904225
2021-06-18,127.2833023071289,128.30772287123602,127.06865812161917,127.52721480091388,108953300,-0.010091699243758967,123.94120178222656,0.010857181761768621
2021-06-21,129.0784912109375,129.18581330080102,126.063736441913,127.1271913132279,79663300,0.014103883787339955,124.27633666992188,0.01052576628415508
2021-06-22,130.71755981445312,130.81513075216756,128.4150256244004,128.9126165646152,74783600,0.012698231813363048,124.6119598388672,0.010494010191584215
2021-06-23,130.44439697265625,131.04931007255976,129.98584029942936,130.51269961588608,60214200,-0.002089718031644816,124.94368019104004,0.010505683038739938
2021-06-24,130.16148376464844,131.36152922245495,129.69316099657445,131.1761533209972,68711000,-0.002168841395825627,125.2636947631836,0.010540324248361684
2021-06-25,129.8687744140625,130.6297802366699,129.5760764313894,130.21025787505408,70783700,-0.0022488169473789954,125.64566192626953,0.010014252010235107
2021-06-28,131.4980926513672,131.95664929646315,130.10292043684166,130.1614570490265,62111300,0.012545881368756895,126.1417797088623,0.01002067848506931
2021-06-29,133.0103759765625,133.16648356087228,131.07859300425446,131.51763255879192,64556100,0.01150042023198572,126.72961044311523,0.01002769308957391
2021-06-30,133.62501525878906,134.06405473109936,132.5615455661884,132.85424351014055,63261400,0.004620987480968175,127.31012344360352,0.010020701580652899
2021-07-01,133.927490234375,133.98602685703514,132.45424909031448,133.27380646927242,52485800,0.002263610410072836,127.97990951538085,0.009239969999895873
2021-07-02,136.5519561767578,136.59097561940857,134.3957635112395,134.5421050302235,78852600,0.019596170568043636,128.6662784576416,0.009285516666108816
2021-07-06,138.56182861328125,139.6643030810213,136.65931393358588,136.65931393358588,108181800,0.014718737781550306,129.4526538848877,0.009423962282607617
2021-07-07,141.0497283935547,141.3619286538461,139.1862333107396,140.04479519196917,104911600,0.01795515983855145,130.32244644165038,0.009791566563407048
2021-07-08,139.75209045410156,140.5521155930635,137.2446631833098,138.13250812343543,105575500,-0.009199861312972346,131.10833206176758,0.010393558090478539
2021-07-09,141.57655334472656,142.1033977245654,139.17644811221814,139.27401905419063,99890800,0.013054995347094422,132.0351989746094,0.009952385344728271
2021-07-12,140.98141479492188,142.75710481226085,140.49358983023356,142.64978272453996,76299700,-0.004203651916540041,132.8718189239502,0.010239439931079822
2021-07-13,142.09368896484375,143.86937940514224,140.13263749909038,140.5228916089028,100827100,0.007889509206159051,133.61136283874512,0.009317441393227882
2021-07-14,145.51817321777344,145.92795926693185,144.083966707426,144.49375275658443,127050800,0.024100185433126198,134.5631076812744,0.009741739690634623
2021-07-15,144.86451721191406,146.34750947636803,143.50836421958925,145.60602078776031,106820300,-0.004491920090840873,135.45729179382323,0.010061841471086873
2021-07-16,142.8253936767578,146.1133292004128,142.32781756831105,144.8449961921481,93251400,-0.014076073108871268,136.16951637268068,0.010960594651075614
2021-07-19,138.98133850097656,140.56190161268026,138.2203326975493,140.24968646910114,121434600,-0.026914367794295124,136.75441818237306,0.01271151945012628
2021-07-20,142.5912322998047,143.5181116494979,139.47892150687957,139.9667464752501,96350000,0.025973946126607306,137.4300552368164,0.013440576332968359
2021-07-21,141.85946655273438,142.57170158330717,141.10822697009226,141.98630578312776,74993500,-0.005131912637740155,137.98715057373047,0.013499606790113125
2021-07-22,143.2254180908203,144.59132208932277,142.25951926436974,142.38635852395822,77338200,0.009628906489494993,138.62620162963867,0.01346721657762555
2021-07-23,144.9425811767578,145.09868877076016,143.34251555633264,143.95717990319216,71447400,0.011989234235285195,139.36525650024413,0.013455347781961688
2021-07-26,145.36207580566406,146.1816181027515,144.10347916841854,144.65960672609336,72434100,0.0028942124909081546,140.13992156982422,0.013348615708244612
2021-07-27,143.1961212158203,145.5767090416399,142.00582730291055,145.48888924785527,104818600,-0.01490041042575252,140.72482299804688,0.014006260421227976
2021-07-28,141.44973754882812,143.391286472983,139.06914908747908,141.28387882976534,118931200,-0.012195747008818092,141.14679107666015,0.014368320187634653
2021-07-29,142.09368896484375,142.981534184993,141.05950217532487,141.16682428860926,56699500,0.004552510504258311,141.5702247619629,0.014367966539765912
2021-07-30,142.30828857421875,142.7668451974614,140.60090132642787,140.8643309559415,70440600,0.0015102684076848671,141.98926467895507,0.014371469094942788
2021-08-02,141.97659301757812,143.37176538004852,141.71316334757606,142.79613544954273,62880000,-0.0023308238751507115,142.2604965209961,0.01387769545812637
2021-08-03,143.77175903320312,144.43519376937195,141.64483467000184,142.25949882463198,64786600,0.012644098421228822,142.5209930419922,0.013785393202028982
2021-08-04,143.37173461914062,144.19127687526958,142.7180510419496,143.68394969989515,56368300,-0.0027823573749982122,142.6370933532715,0.013288122977606119
2021-08-05,143.47906494140625,144.24007063545545,142.6107371680816,143.40101116673,46397700,0.0007486156357858764,142.8234420776367,0.013074616742539888
2021-08-06,142.79510498046875,143.74290453377364,142.29678337483543,143.0003050001657,54126800,-0.004766966952403973,142.88436965942384,0.01284360423006294
2021-08-09,142.7462615966797,143.34230040071924,142.18931561461758,142.853744492803,48908700,-0.00034205222788097345,142.9726119995117,0.012798008342304198
2021-08-10,142.2675018310547,144.3292085832048,141.9743652724962,143.08827226738262,69023100,-0.0033539215687322654,142.98130264282227,0.012712228979426312
2021-08-11,142.52151489257812,143.36183156118472,142.19906623850963,142.70716850336376,48493500,0.0017854608976342057,142.8314697265625,0.01141106293148961
2021-08-12,145.482177734375,145.63851920327534,142.5019837127135,142.84397881224007,72282600,0.02077344493586386,142.86235275268555,0.012360577842182727
2021-08-13,145.68736267089844,146.01957707570978,144.8763581583002,145.56033337689462,59375000,0.001410378506280452,143.00545120239258,0.011889665926931768
2021-08-16,147.66111755371094,147.72952253031957,143.1175540441941,145.1401675406519,103296000,0.01354787983410155,143.4394401550293,0.010201835374343623
2021-08-17,146.75242614746094,148.20831321235303,145.67759718518755,146.7915040599331,92229700,-0.00615389766313712,143.64749984741212,0.00884715113477086
2021-08-18,143.01007080078125,147.2702784625577,142.8048707810112,146.37133747643588,86326000,-0.025501148055428136,143.70503005981445,0.010638906744910807
2021-08-19,143.34230041503906,144.61254875765684,141.19265740190144,141.71052547158095,86960300,0.0023231204096152425,143.71087417602538,0.010430832659560949
2021-08-20,144.79820251464844,145.10110479232438,143.4204712746936,144.06536865206095,60549600,0.010156821087661472,143.70365524291992,0.010328381602614463
2021-08-23,146.2834014892578,146.75241093803115,144.50505101044897,144.91543614181833,60131800,0.010257026322264773,143.7497215270996,0.010565432933937895
2021-08-24,146.1954803466797,147.40710449199298,145.73623655262395,146.02937310982574,48606400,-0.0006010329380027324,143.8996894836426,0.00994325547475293
2021-08-25,144.9642791748047,146.87942449217206,144.4170990582826,146.38108802855805,58991300,-0.008421608991983853,144.0754165649414,0.009711063528005718
2021-08-26,144.1630401611328,145.7068782917423,144.13372800564036,144.95451308804914,48597200,-0.005527147916940978,144.17888412475585,0.009793104370140264
2021-08-27,145.19879150390625,145.3453522818871,143.4692997760321,144.1044163600025,55802400,0.007184583105459996,144.32340927124022,0.009897356071594657
2021-08-30,149.61534118652344,149.97688265994054,145.2085727146907,145.58964568755837,90956700,0.030417261995588696,144.7053466796875,0.011828632640609165
2021-08-31,148.35488891601562,149.30268857096087,147.82724018566304,149.1658935130071,86453100,-0.008424619163461489,144.93450317382812,0.011833644173948074
2021-09-01,149.019287109375,151.43275399237308,148.85317992388826,149.3319699829077,80313700,0.004478438143926011,145.21688079833984,0.01180227905037047
2021-09-02,150.13320922851562,151.17872592141703,148.91181958328025,150.34817499884036,71115500,0.007475019782660963,145.54958801269532,0.011860451702236504
2021-09-03,150.7683563232422,151.0908050119508,149.58604446464392,150.24070759279422,57808700,0.004230556969976096,145.948250579834,0.011746954981628336
2021-09-07,153.10366821289062,153.66061425099002,150.85630782844845,151.42303452779782,82278300,0.015489403390732903,146.46612091064452,0.01205447433836193
2021-09-08,151.55979919433594,153.44561765373206,150.4556581818044,153.38699333617137,74420200,-0.010083814689586301,146.93073577880858,0.012348484547570041
2021-09-09,150.5436248779297,152.53692642541913,150.42636132134103,151.93112186962642,57305700,-0.006704774760906584,147.33184127807618,0.012545514377868336
2021-09-10,145.56033325195312,151.9213251437336,145.2965089144569,151.45231569560596,140893200,-0.033101977118043524,147.33574905395508,0.014166200731093781
2021-09-13,146.12704467773438,147.9542386226374,145.3453524055779,147.18232700871462,102404300,0.0038933094828816905,147.35773315429688,0.014188942376396459
2021-09-14,144.72979736328125,147.61228914708835,143.54750041568678,146.90876744705565,109296300,-0.009561866645114048,147.2111671447754,0.013988299277043993
2021-09-15,145.6189422607422,146.01956159972383,143.01982179601146,145.1596986106003,83281300,0.006143481948151397,147.15449295043945,0.014015856804954456
2021-09-16,145.38441467285156,145.56030249720038,143.85035735869758,145.04243459087402,68034100,-0.0016105568702091677,147.27321014404296,0.012711853404847383
