Date,Close,High,Low,Open,Volume,Daily_Return,20_Day_MA,Volatility_20
2021-04-22,125.07779693603516,125.57443169384996,124.48695705841388,125.22336409827706,4904400,-0.006191195629039692,122.70246543884278,0.00899550015125798
2021-04-23,124.8722915649414,125.30899308009268,124.21294714465958,124.59827354813405,4354700,-0.0016430203931305787,122.96791458129883,0.00900740168176836
2021-04-26,122.75728607177734,124.82094056203988,122.43189288044448,124.63255640557357,5817700,-0.01693734828325888,122.99617309570313,0.00871029495480699
2021-04-27,122.35482025146484,122.6031376743109,121.70404698760304,122.12361915716014,4693700,-0.0032785493488115547,122.91397018432617,0.008035954497598377
2021-04-28,121.4471435546875,123.0398373304815,121.36150965880364,122.86858260461186,4962700,-0.007418397533598409,122.88357124328613,0.007410391197898995
2021-04-29,123.25392150878906,123.6734936698519,121.5670355027422,121.6783569655055,4699900,0.014877072454882123,122.99017944335938,0.007917061929615207
2021-04-30,123.44231414794922,123.5108186631448,122.02087485591686,122.7230363372462,5051100,0.0015284920500215904,123.11348533630371,0.007902390933559381
2021-05-03,124.8380355834961,125.68576414289666,123.39092199713936,124.18726237781084,6109800,0.011306669395990676,123.2260871887207,0.007750162629672766
2021-05-04,123.27104949951172,125.6772132393301,122.86859367122544,125.0007393722535,6603800,-0.012552152688563578,123.2385040283203,0.008282463409013391
2021-05-05,123.21110534667967,123.79338715652274,122.87715402214748,123.0655381606938,5305200,-0.0004862792446029829,123.25905418395996,0.008271403814110598
2021-05-06,124.6410903930664,124.9836129137914,123.31384339029076,123.70774102264994,4472200,0.011605975308501382,123.38835258483887,0.008507367646691452
2021-05-07,124.6410903930664,125.0178586329148,123.79337491930572,124.35851421318011,4181000,0.0,123.51636695861816,0.008508633755709259
2021-05-10,125.6343994140625,126.7218873004885,125.11206394728146,125.43745710996788,5270600,0.007969354390783945,123.67477912902832,0.008637748971871789
2021-05-11,124.71817016601562,126.42218564235084,124.17871835397078,126.01972979148726,5266100,-0.007292821490929358,123.78609619140624,0.0088485410814706
2021-05-12,123.50220489501952,124.79520594190296,123.17682489228572,124.05879898956468,5651700,-0.009749704228161016,123.87686157226562,0.009017440597897037
2021-05-13,125.33466339111328,125.97687833050762,122.94562956556074,123.51078184804288,4849400,0.014837455717097603,124.05068778991699,0.009550942349738635
